DATE,SOURCE_ID,SOURCE_SIC_CODE,TARGET_ID,TARGET_SIC_CODE
20021126,616,J5822,157,C2632
20030407,478,J5822,230,J6202
20030407,478,J5822,26,G4651
20050705,272,J5822,570,C2642
20050706,233,J5822,395,J5822
20050706,233,J5822,97,J5822
20050706,233,J5822,77,J6202
20050706,233,J5822,59,J6202
20050706,233,J5822,48,J5822
20050706,272,J5822,570,C2642
20050707,142,G4651,21,J6202
20050707,142,G4651,161,J5822
20050708,160,J6312,48,J5822
20050708,272,J5822,570,C2642
20050711,640,J5822,643,C2721
20050712,122,J5822,395,J5822
20050712,122,J5822,56,J6202
20050712,122,J5822,108,J6202
20050712,122,J5822,6,K6412
20050712,325,J5822,108,J6202
20050712,349,J5822,327,J6312
20050712,349,J5822,71,J5822
20050712,349,J5822,206,J6122
20050713,266,J5822,176,J5822
20050713,266,J5822,48,J5822
20050713,266,J5822,570,C2642
20050713,322,J6202,161,J5822
20050713,322,J6202,354,C3131
20050713,322,J6202,59,J6202
20050713,322,J6202,176,J5822
20050714,676,J6202,102,J5822
20050714,676,J6202,463,J5822
20050718,432,M7390,48,J5822
20050718,432,M7390,374,J6129
20050721,318,J5822,589,C2612
20050721,318,J5822,76,J5822
20050721,318,J5822,484,K6412
20050725,142,G4651,21,J6202
20050725,142,G4651,161,J5822
20050727,121,J6202,59,J6202
20050727,246,J5822,280,J5822
20050727,246,J5822,218,J6122
20050728,85,J5822,644,F4122
20050728,85,J5822,642,C2411
20050728,89,C2642,14,J6021
20050728,89,C2642,554,J6021
20050728,494,J6399,326,J6399
20050729,305,J5822,182,J6022
20050729,305,J5822,454,J6022
20050729,305,J5822,570,C2642
20050808,382,J5822,78,J6202
20050808,382,J5822,48,J5822
20050808,382,J5822,374,J6129
20050808,382,J5822,22,J6202
20050816,286,G4651,108,J6202
20050816,286,G4651,85,J5822
20050817,158,G4651,59,J6202
20050817,158,G4651,48,J5822
20050817,158,G4651,48,J5822
20050817,542,J6202,48,J5822
20050817,542,J6202,395,J5822
20050817,542,J6202,478,J5822
20050818,270,G4651,108,J6202
20050822,471,J5822,48,J5822
20050823,144,J5822,59,J6202
20050823,144,J5822,48,J5822
20050823,144,J5822,395,J5822
20050823,144,J5822,202,G4610
20050824,201,J6202,59,J6202
20050824,372,J5822,242,J6121
